title,plot
Pretty Woman (1990),"b""Pretty Woman. Because of his extreme wealth and suave good looks, Edward Lewis could seemingly have any woman he wants, that committed significant other which he needs on his arm at social events to further how he makes his money as a corporate raider. However, he focuses more on his corporate raiding pursuits with his partner in crime, Philip Stuckey, his lawyer of ten years, than those women, with every significant other he's had in his life feeling neglected and eventually leaving him, this fact about which he is just coming to the realization. In Beverly Hills, Edward, in needing that woman on his arms as he and Philip work toward taking over the company owned by the increasingly insolvent James Morse, decides, based on a chance encounter, to hire Hollywood Boulevard hooker Vivian Ward as his escort for the week 24/7. He does so because he wants to have a professional who would be committed to the work, yet not have any commitments to her after the week is over. Beyond their chance encounter, he also makes this decision because she surprises him about how unhookerish she is in certain respects. Vivian, relatively new to Los Angeles and the business, still has to look and act the part, with Edward, beyond giving her money, leaving her largely to her own devices to do so. So she gets a somewhat unlikely Henry Higgins in Barney Thompson, the manager of the Beverly Wilshire Hotel where Edward is staying. Barney has to draw that fine line of keeping the hotel's upscale clients happy, while maintaining the posh decorum of the upper class, which does not include people coming into the hotel looking for rooms with hourly rates. As Barney and his associates are able to transform Vivian into a Cinderella, the questions become whether Vivian can go back to her Hollywood Boulevard life and whether she does have her Prince Charming beyond this week in the form of Edward or anyone else who truly does see her as Cinderella as opposed to a Hollywood Boulevard streetwalker."""
Jane Eyre (1996),"b""Jane Eyre. After a bleak childhood, Jane Eyre goes out into the world to become a governess. As she lives happily in her new position at Thornfield Hall, she meets the dark, cold, and abrupt master of the house, Mr. Rochester. Jane and her employer grow close in friendship and she soon finds herself falling in love with him. Happiness seems to have found Jane at last, but could Mr. Rochester's terrible secret be about to destroy it forever?"""
"Last Supper, The (1995)","b'Last Supper, The. N/A'"
Ransom (1996),"b'Ransom. Tom Mullen is a millionaire, he built his fortune by working hard. Along the way he learned how to play the game. He has a great family. One day his son is kidnapped. He is willing to pay the ransom but decides to call in the FBI, who manages to go into his home secretly. When he goes to make the drop something goes wrong. The kidnapper calls him again and reschedules it. On the way Mullen decides not to go and appears on TV saying that the ransom he was going to give to the kidnapper is now a bounty on the kidnapper.'"
Michael Collins (1996),"b'Michael Collins. Neil Jordan\'s depiction of the controversial life and death of Michael Collins, the ""Lion of Ireland"", who led the IRA against the UK and helped found the Irish Free State in 1922.'"
Real Genius (1985),"b'Real Genius. Mitch Taylor is one of the youngest students ever accepted to a university known for its programs for geniuses. He partners up with his roommate, science club legend Chris Knight, on a project to develop a high-powered laser. Together with their hyperkinetic friends, they employ their intellects in the pursuit of bigger blasts, practical jokes, and a deeper understanding of what real genius means. When they find out that their professor intends to turn their work over to the military for use as a weapon, they decide to get even.'"
Benny & Joon (1993),"b""Benny & Joon. One man's simmering account of fallen comrades, life's sacrifices, and the cruelties endured by a grunt on the front line."""
"Saint, The (1997)","b""Saint, The. Sleuth Simon Templar ties a London baby's kidnapping to a black-market baby ring based in Brazil."""
"MatchMaker, The (1997)","b'MatchMaker, The. '"
Amistad (1997),"b""Amistad. Amistad is the name of a slave ship traveling from Cuba to the U.S. in 1839. It is carrying a cargo of Africans who have been sold into slavery in Cuba, taken on board, and chained in the cargo hold of the ship. As the ship is crossing from Cuba to the U.S., Cinque, who was a tribal leader in Africa, leads a mutiny and takes over the ship. They continue to sail, hoping to find help when they land. Instead, when they reach the United States, they are imprisoned as runaway slaves. They don't speak a word of English, and it seems like they are doomed to die for killing their captors when an abolitionist lawyer decides to take their case, arguing that they were free citizens of another country and not slaves at all. The case finally gets to the Supreme Court, where John Quincy Adams makes an impassioned and eloquent plea for their release."""
Tomorrow Never Dies (1997),"b""Tomorrow Never Dies. Agent James Bond 007 is on a mission which includes a media tycoon, his former lover and a Chinese agent. Elliot Carver wants to complete his global media empire, but in order for this to work, he must achieve broadcasting rights in China. Carver wants to start up World War III by starting a confrontation over British and Chinese waters. Bond gains the help of Wai Lin on his quest to stop him, but how will Bond feel when he meets up with his former lover, who is now Carver's wife."""
Red Corner (1997),"b'Red Corner. Jack Moore is an American attorney having talks in Bejing about founding the first satellite TV joint venture. Suddenly he is arrested, accused of murder and has to prove it was a frame-up together with his court-appointed attorney Shen Yuelin.'"
Jumanji (1995),"b'Jumanji. After being trapped in a jungle board game for 26 years, a Man-Child wins his release from the game. But, no sooner has he arrived that he is forced to play again, and this time sets the creatures of the jungle loose on the city. Now it is up to him to stop them.'"
Father of the Bride Part II (1995),"b'Father of the Bride Part II. In this sequel to ""Father of the Bride"", George Banks must accept the reality of what his daughter\'s ascension from daughter to wife, and now, to mother means when placed into perspective against his own stage of life. As the comfortable family unit starts to unravel in his mind, a rapid progression into mid-life crisis is in his future. His journey to regain his youth acts as a catalyst for a kind of ""rebirth"" of his attitude on life when he and his wife, Nina, find how their lives are about to change as well.'"
Beautiful Girls (1996),"b'Beautiful Girls. New York based jazz pianist Willie Conway heads back to his small hometown of Knights Ridge, Massachusetts for a high school reunion. The trip is as much to go to the reunion and see his old friends - none of whom left Knights Ridge after graduation - as it is to get away from his current life, at which he is at a crossroads both personally and professionally. He is just eking out a living with his piano playing gigs, and as such he is thinking about taking a sales job. He\'s also not sure if he\'s ready to marry his long time girlfriend, lawyer Tracy Stover. Most of Willie\'s Knights Ridge blue collar friends\' best days were in high school, they still having that ""trophy"" mentality of girlfriends and wives. Only Michael ""Mo"" Morris is happily married with a family. Paul Kirkwood, whose room is plastered with magazine pictures of models, wants his waitress ex-girlfriend Jan back only because he knows now that he can\'t have her. And Tommy ""Birdman"" Rowland, who was the big man in high school, is trying to end his affair with his now married high school girlfriend, Darian Smalls. Despite knowing about Darian, Tommy\'s current girlfriend, Sharon Cassidy, stands by her man through bad and worse. A cousin of their bar owning friend Stanley ""Stinky"" Womack, the beautiful Andera who is visiting from Chicago, may provide the voice of reason for this group of friends in dealing with their women problems. Some reason is what Willie may need in trying to figure out why he is attracted to Marty, his father\'s thirteen year old neighbor, especially as Willie learns that Tracy has decided to join him for the reunion.'"
